#Columns 1-3 represent the chrom, start, and end of the block in deer, respectively. Columns 4-6 represent the chrom, start, and end of the corresponding block in sheep.
chr10a	9133	9763	7	107608210	107608873
chr10a	9945	28073	7	107608874	107626924
chr10a	28080	29530	1	118539403	118540840
chr10a	29531	30716	1	118538049	118539143
chr10a	30717	30760	9	13429680	13429819
chr10a	30776	30875	9	13429516	13429631
chr10a	30876	31435	1	118537494	118538048
chr10a	31510	31643	7	107630031	107630164
chr10a	31644	32576	7	107630390	107631310
chr10a	32577	32683	7	107632226	107632331
chr10a	32684	33349	7	107633961	107634676
chr10a	33350	33605	12	58120958	58121196
chr10a	33802	34959	7	107634703	107635890
chr10a	36294	40080	7	107635891	107639694
chr10a	40514	51095	7	107639695	107650213
chr10a	53562	55722	7	107650215	107652350
chr10a	55723	60841	8	57219994	57225108
chr10a	61043	61515	8	57225109	57225574
chr10a	61516	62941	8	57225837	57227328
chr10a	63913	65130	12	114394	115614
chr10a	65131	66407	7	6569146	6570419
chr10a	66420	67857	7	6567682	6569135
chr10a	68087	70146	7	6564618	6566666
chr10a	70147	76677	7	6557823	6564386
chr10a	76792	78136	7	6556398	6557822
chr10a	78947	80884	9	94748915	94750867
chr10a	80885	82817	9	94745055	94746990
chr10a	83002	84670	9	94743433	94745054
chr10a	84874	85525	7	11799586	11800239
chr10a	85526	85641	7	11800505	11800618
chr10a	85666	87758	9	94741389	94743432
chr10a	88324	89337	9	94735420	94736413
chr10a	89338	91399	9	94730169	94732170
chr10a	91991	92898	9	94729271	94730168
chr10a	92899	93260	2	48093048	48093421
chr10a	93261	93894	8	57181166	57181765
chr10a	93895	94198	8	57182169	57182470
chr10a	94199	95288	8	57182636	57183824
chr10a	95289	95418	2	48089914	48090048
chr10a	95432	96986	8	57183825	57185020
chr10a	97009	97039	14	55252586	55252616
chr10a	97040	97052	8	57185021	57185033
chr10a	97056	97085	14	55252543	55252574
chr10a	97086	100339	8	57185034	57188391
chr10a	100340	100467	14	55249221	55249372
chr10a	100468	100607	14	64049330	64049460
chr10a	100614	101232	9	94728649	94729270
chr10a	101335	101743	9	94728216	94728648
chr10a	101804	103666	9	94724841	94726686
chr10a	108245	110336	9	94710331	94712432
