#Columns 1-4 represent the chrom, start, end, and name of the lncRNA. Columns 5-7 represent the chrom, start, and end of the block that overlaps with the lncRNA. Column 8 represents the length of the overlap between the lncRNA and this block.
chr11a	26844245	26848014	MSTRG.1005.1	chr11a	26841129	26847051	2806
chr11a	26844245	26848014	MSTRG.1005.1	chr11a	26847282	26850147	732
chr11a	26844245	26848014	MSTRG.1005.1	chr11a	26847051	26847282	231
chr1a	130797311	130797775	MSTRG.10078.1	chr1a	130796243	130800925	464
chr11a	27039829	27043012	MSTRG.1008.1	chr11a	27042753	27042816	63
chr11a	27039829	27043012	MSTRG.1008.1	chr11a	27042817	27042893	76
chr11a	27039829	27043012	MSTRG.1008.1	chr11a	27042894	27043065	118
chr11a	27039829	27043012	MSTRG.1008.1	chr11a	27029342	27042725	2896
chr1a	132183957	132230692	MSTRG.10109.1	chr1a	132228517	132228681	164
chr1a	132183957	132230692	MSTRG.10109.1	chr1a	132180608	132207079	23122
chr1a	132183957	132230692	MSTRG.10109.1	chr1a	132207080	132228517	21437
chr1a	132183957	132230692	MSTRG.10109.1	chr1a	132228681	132240131	2011
chr11a	26999969	27001629	MSTRG.1012.1	chr11a	26996923	27007573	1660
chr1a	140789597	140802996	MSTRG.10342.1	chr1a	140788035	140795906	6309
chr1a	140789597	140802996	MSTRG.10342.1	chr1a	140795907	140798637	2730
chr1a	140789597	140802996	MSTRG.10342.1	chr1a	140799915	140800328	413
chr1a	140789597	140802996	MSTRG.10342.1	chr1a	140798637	140799915	1278
chr1a	140789597	140802996	MSTRG.10342.1	chr1a	140800340	140804385	2656
chr1a	142078428	142079685	MSTRG.10372.1	chr1a	142065839	142085690	1257
chr1a	144379508	144382891	MSTRG.10384.1	chr1a	144377182	144386762	3383
chr1a	143454998	143470009	MSTRG.10391.1	chr1a	143452087	143456179	1181
chr1a	143454998	143470009	MSTRG.10391.1	chr1a	143456180	143458580	2400
chr1a	143454998	143470009	MSTRG.10391.1	chr1a	143458581	143474701	11428
chr1a	142284451	142285880	MSTRG.10401.1	chr1a	142283961	142299463	1429
chr1a	146453748	146460909	MSTRG.10408.1	chr1a	146452186	146454725	977
chr1a	146453748	146460909	MSTRG.10408.1	chr1a	146457084	146457615	531
chr1a	146453748	146460909	MSTRG.10408.1	chr1a	146457616	146463233	3293
chr1a	146453748	146460909	MSTRG.10408.1	chr1a	146456954	146457084	130
chr1a	146453748	146460909	MSTRG.10408.1	chr1a	146454726	146456954	2228
chr1a	146815276	146826386	MSTRG.10412.3	chr1a	146817979	146820960	2981
chr1a	146815276	146826386	MSTRG.10412.3	chr1a	146820961	146831224	5425
chr1a	146815276	146826386	MSTRG.10412.3	chr1a	146811190	146817978	2702
chr1a	147153293	147155834	MSTRG.10426.1	chr1a	147151581	147154678	1385
chr1a	147153293	147155834	MSTRG.10426.1	chr1a	147154680	147154778	98
chr1a	147153293	147155834	MSTRG.10426.1	chr1a	147154779	147154967	188
chr1a	147153293	147155834	MSTRG.10426.1	chr1a	147154987	147159561	847
chr1a	147239993	147241651	MSTRG.10428.1	chr1a	147238888	147241891	1658
chr1a	147707697	147715034	MSTRG.10441.13	chr1a	147707174	147708194	497
chr1a	147707697	147715034	MSTRG.10441.13	chr1a	147708195	147709358	1163
chr1a	147707697	147715034	MSTRG.10441.13	chr1a	147709363	147709942	579
chr1a	147707697	147715034	MSTRG.10441.13	chr1a	147714039	147714105	66
chr1a	147707697	147715034	MSTRG.10441.13	chr1a	147714106	147714207	101
chr1a	147707697	147715034	MSTRG.10441.13	chr1a	147714236	147714398	162
chr1a	147707697	147715034	MSTRG.10441.13	chr1a	147714401	147714851	450
